station_id,n_years,days_below_trend,days_below_p,days_below_sen,nm7q_trend,nm7q_p,nm7q_sen,min_year,days_below_p_fdr,nm7q_p_fdr
DESM_DENW9282570000100,32,increasing,0.019001296136927026,1.1155555555555556,decreasing,0.035069438571895484,-0.005690476190476192,2019,0.03552846517269168,0.060238892092394636
DESM_DENW9284730000100,30,no trend,0.4304935800556353,0.0,no trend,0.32013656844448835,-0.005051020408163266,2022,0.4969363190995919,0.38696642448340507
DESM_DENW9286453000200,31,no trend,0.15349848843685354,0.375,no trend,0.4324504235358999,-0.0015428571428571431,2019,0.20638935336640607,0.5040574741863248
DESM_DENW9286455000200,34,increasing,0.03377610305998657,0.8275862068965517,no trend,0.12504272739262112,-0.002405714285714285,2022,0.05692779811518863,0.17199363652854782
DESM_DERP2372030500,34,increasing,0.0005497745693063827,1.0,decreasing,0.00018834763162978163,-0.013777777777777778,2022,0.0024366551898887825,0.0015724837152346887
DESM_DERP2375010200,34,increasing,0.04563224527431986,1.375,decreasing,0.008830286276187538,-0.0002678571428571428,2019,0.07379268492558932,0.021862570849319488
DESM_DERP2375020400,34,increasing,0.0209620396487753,0.5384615384615384,decreasing,0.013754506203426553,-0.00438571428571428,2020,0.03762686116955166,0.02921815223094753
DESM_DERP2375030600,34,increasing,0.004575723489820938,1.3,decreasing,0.00043607298312720033,-0.002836734693877551,2020,0.011650246332239125,0.002699141395563188
DESM_DERP2377050700,33,increasing,0.001749399716013178,1.907017543859649,decreasing,0.001749399716013178,-0.0068181818181818135,2021,0.005709404527715735,0.0065420260213409475
DESM_DERP2378050000,33,increasing,0.005024693896646282,0.8759590792838874,decreasing,0.0005521233561254224,-0.009391330891330884,2021,0.012307705586509546,0.0030032164371064643
DESM_DERP2391040200,34,no trend,0.6291226196254422,0.0,no trend,0.8646652653123481,0.0011344537815126024,1999,0.6949385244477961,0.8975397546580671
DESM_DERP2391085400,34,increasing,0.000017710898882361548,2.142857142857143,decreasing,0.00007780085950059856,-0.0037819548872180427,2022,0.00023548935921362206,0.0009975181628826743
DESM_DERP2520080500,33,no trend,0.21078409090324657,0.0,no trend,0.27725679757119037,-0.0011934523809523784,2022,0.2731822694377817,0.339710547194735
DESM_DERP2540025800,33,no trend,0.1014505333614959,0.7303030303030302,no trend,0.13152122240591746,-0.008630952380952503,2003,0.14226852139366025,0.18021419406001665
DESM_DERP2542040400,34,no trend,0.33639747355216265,0.0,no trend,0.19843040968125814,-0.0013596059113300501,2022,0.4066218619704592,0.2535107369237426
DESM_DERP2546030700,33,increasing,0.03644545316257175,0.5166666666666666,decreasing,0.010897045103689385,-0.01056428571428561,2022,0.06088183970329038,0.02460402007688358
DESM_DERP2548030400,34,no trend,0.5656676042287672,0.0,no trend,0.2992115611491839,-0.002340136054421769,1993,0.6335020713211039,0.3628951028802602
